date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:18	181/181	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Nov%202021%2001:03:18%20GMT	https://br.grandchase.net/robots.txt		(from )
22:03:18	96251/96251	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Nov%202021%2001:03:18%20GMT	https://br.grandchase.net/pc/	D:/httrack/grand-chase/br.grandchase.net/pc/index.html	(from )
22:03:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2025%20Nov%202021%2001:03:18%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/httrack/grand-chase/www.googletagmanager.com/gtm.05445.delayed	(from https://br.grandchase.net/pc/)
22:03:19	40552/40552	---M--	200	added ('OK')	image/png	etag:%229e68-5b4e31f2502bc%22	https://br.grandchase.net/favicon/apple-touch-icon.png	D:/httrack/grand-chase/br.grandchase.net/favicon/apple-touch-icon.png	(from https://br.grandchase.net/pc/)
22:03:19	3539/3539	---M--	200	added ('OK')	image/png	etag:%22dd3-5b4e31f25d994%22	https://br.grandchase.net/favicon/favicon-32x32.png	D:/httrack/grand-chase/br.grandchase.net/favicon/favicon-32x32.png	(from https://br.grandchase.net/pc/)
22:03:20	45061/45061	---M--	200	added ('OK')	image/png	etag:%22b005-5b4e31f256464%22	https://br.grandchase.net/favicon/android-chrome-192x192.png	D:/httrack/grand-chase/br.grandchase.net/favicon/android-chrome-192x192.png	(from https://br.grandchase.net/pc/)
22:03:20	1795/1795	---M--	200	added ('OK')	image/png	etag:%22703-5b4e31f263754%22	https://br.grandchase.net/favicon/favicon-16x16.png	D:/httrack/grand-chase/br.grandchase.net/favicon/favicon-16x16.png	(from https://br.grandchase.net/pc/)
22:03:21	121176/121176	---MCZ	200	added ('OK')	text/css	etag:W/%221d958-5b4e31f508387%22	https://www.grandchase.net/css/bootstrap.min.css	D:/httrack/grand-chase/www.grandchase.net/css/bootstrap.min.css	(from https://br.grandchase.net/pc/)
22:03:22	23409/23409	---MCZ	200	added ('OK')	text/css	etag:W/%225b71-5b4e31f4ee576%22	https://www.grandchase.net/css/bootstrap-theme.min.css	D:/httrack/grand-chase/www.grandchase.net/css/bootstrap-theme.min.css	(from https://br.grandchase.net/pc/)
22:03:22	14336/14336	---MCZ	200	added ('OK')	text/css	etag:W/%223800-5b4e31f2cf1ff%22	https://br.grandchase.net/pc/css/default.min.css	D:/httrack/grand-chase/br.grandchase.net/pc/css/default.min.css	(from https://br.grandchase.net/pc/)
22:03:22	1295/1295	---MCZ	200	added ('OK')	text/css	etag:W/%2250f-5b4e31f2ca7c7%22	https://br.grandchase.net/pc/css/slick.min.css	D:/httrack/grand-chase/br.grandchase.net/pc/css/slick.min.css	(from https://br.grandchase.net/pc/)
22:03:23	6034/6034	---MCZ	200	added ('OK')	text/css	etag:W/%221792-5b4e31f2d53a7%22	https://br.grandchase.net/pc/css/motion.min.css	D:/httrack/grand-chase/br.grandchase.net/pc/css/motion.min.css	(from https://br.grandchase.net/pc/)
22:03:23	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	D:/httrack/grand-chase/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://br.grandchase.net/pc/)
22:03:24	43898/43898	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab7a-5b4e31f2d672f%22	https://br.grandchase.net/pc/js/slick.min.js	D:/httrack/grand-chase/br.grandchase.net/pc/js/slick.min.js	(from https://br.grandchase.net/pc/)
22:03:24	2536/2536	---MCZ	200	added ('OK')	application/javascript	etag:W/%229e8-5b4e31f2d9610%22	https://br.grandchase.net/pc/js/app.min.js	D:/httrack/grand-chase/br.grandchase.net/pc/js/app.min.js	(from https://br.grandchase.net/pc/)
22:03:25	220/220	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Nov%202021%2001:03:25%20GMT	https://br.grandchase.net/script/registration.js	D:/httrack/grand-chase/br.grandchase.net/script/registration.js	(from https://br.grandchase.net/pc/)
22:03:25	4064/4064	---M-Z	200	added ('OK')	text/css	etag:%225eb03e2d-fe0%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css	D:/httrack/grand-chase/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css	(from https://br.grandchase.net/pc/)
22:03:26	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%2290b5-5b4e31f502d97%22	https://www.grandchase.net/js/bootstrap.min.js	D:/httrack/grand-chase/www.grandchase.net/js/bootstrap.min.js	(from https://br.grandchase.net/pc/)
22:03:26	20808/20808	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-5148%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js	D:/httrack/grand-chase/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js	(from https://br.grandchase.net/pc/)
22:03:27	16814/16814	---M--	200	added ('OK')	image/png	etag:%224287af4ee4c10c86888472dea2919fb1%22	https://contents.grandchase.net/pt/event/pc/images/btn_pt_google.png	D:/httrack/grand-chase/contents.grandchase.net/pt/event/pc/images/btn_pt_google.png	(from https://br.grandchase.net/pc/)
22:03:27	391927/391927	---M--	200	added ('OK')	image/jpeg	etag:%227fb357b08d1d9f768525a6add7e15e93%22	https://contents.grandchase.net/3rdanniversary/br-popup.jpg	D:/httrack/grand-chase/contents.grandchase.net/3rdanniversary/br-popup.jpg	(from https://br.grandchase.net/pc/)
